TIME,DIFFERENTIAL_TIME,PACKNUM,LOSTNUM,DATA_LEN,PPW,SP,IF_TRUNCATED
577146,577131,25806,0,4,-868,767,0
577146,577136,25806,0,4,-933,766,0
577146,577141,25806,0,4,-973,766,0
577146,577146,25806,0,4,-815,767,0
577166,577151,25807,0,4,-946,766,0
577166,577156,25807,0,4,-973,766,0
577166,577161,25807,0,4,-1105,764,0
577166,577166,25807,0,4,-946,766,0
577186,577171,25808,0,4,-1025,765,0
577186,577176,25808,0,4,-1052,765,0
577186,577181,25808,0,4,-1025,765,0
577186,577186,25808,0,4,-1012,765,0
577207,577191,25809,0,4,-1091,764,0
577207,577196,25809,0,4,-1118,764,0
577207,577202,25809,0,4,-1064,764,0
577207,577207,25809,0,4,-1077,764,0
577226,577212,25810,0,4,-1196,763,0
577226,577217,25810,0,4,-1196,763,0
577226,577221,25810,0,4,-1196,763,0
577226,577226,25810,0,4,-1143,763,0
577246,577231,25811,0,4,-1209,762,0
577246,577236,25811,0,4,-1196,763,0
577246,577241,25811,0,4,-1301,762,0
577246,577246,25811,0,4,-1236,762,0
577266,577251,25812,0,4,-1328,761,0
577266,577256,25812,0,4,-1275,762,0
577266,577261,25812,0,4,-1288,762,0
577266,577266,25812,0,4,-1341,761,0
577286,577271,25813,0,4,-1367,761,0
577286,577276,25813,0,4,-1301,762,0
577286,577281,25813,0,4,-1446,760,0
577286,577286,25813,0,4,-1486,760,0
577305,577291,25814,0,4,-1446,760,0
577305,577296,25814,0,4,-1433,760,0
577305,577300,25814,0,4,-1446,760,0
577305,577305,25814,0,4,-1538,759,0
577325,577310,25815,0,4,-1591,759,0
577325,577315,25815,0,4,-1512,759,0
577325,577320,25815,0,4,-1486,760,0
577325,577325,25815,0,4,-1538,759,0
577345,577330,25816,0,4,-1631,758,0
577345,577335,25816,0,4,-1538,759,0
577345,577340,25816,0,4,-1552,759,0
577345,577345,25816,0,4,-1683,758,0
577365,577350,25817,0,4,-1631,758,0
577365,577355,25817,0,4,-1670,758,0
577365,577360,25817,0,4,-1631,758,0
577365,577365,25817,0,4,-1578,759,0
577384,577370,25818,0,4,-1604,759,0
577384,577375,25818,0,4,-1525,759,0
577384,577379,25818,0,4,-1420,760,0
577384,577384,25818,0,4,-1420,760,0
577405,577389,25819,0,4,-1288,762,0
577405,577394,25819,0,4,-1170,763,0
577405,577400,25819,0,4,-931,765,0
577405,577405,25819,0,4,-905,765,0
577425,577410,25820,0,4,-747,767,0
577425,577415,25820,0,4,-549,769,0
577425,577420,25820,0,4,-444,770,0
577425,577425,25820,0,4,-352,771,0
577445,577430,25821,0,4,-246,772,0
577445,577435,25821,0,4,-101,773,0
577445,577440,25821,0,4,-88,773,0
577445,577445,25821,0,4,-22,774,0
577464,577450,25822,0,4,82,775,0
577464,577455,25822,0,4,109,775,0
577464,577459,25822,0,4,161,776,0
577464,577464,25822,0,4,135,776,0
577484,577469,25823,0,4,43,775,0
577484,577474,25823,0,4,56,775,0
577484,577479,25823,0,4,148,776,0
577484,577484,25823,0,4,161,776,0
577504,577489,25824,0,4,175,776,0
577504,577494,25824,0,4,135,776,0
577504,577499,25824,0,4,43,775,0
577504,577504,25824,0,4,82,775,0
577524,577509,25825,0,4,122,776,0
577524,577514,25825,0,4,43,775,0
577524,577519,25825,0,4,3,774,0
577524,577524,25825,0,4,69,775,0
577543,577529,25826,0,4,-114,773,0
577543,577534,25826,0,4,-128,773,0
577543,577538,25826,0,4,-141,773,0
577543,577543,25826,0,4,-75,774,0
577563,577548,25827,0,4,-62,774,0
577563,577553,25827,0,4,-141,773,0
577563,577558,25827,0,4,-128,773,0
577563,577563,25827,0,4,-207,772,0
577583,577568,25828,0,4,-233,772,0
577583,577573,25828,0,4,-259,772,0
577583,577578,25828,0,4,-365,771,0
577583,577583,25828,0,4,-536,769,0
577604,577588,25829,0,4,-470,770,0
577604,577593,25829,0,4,-575,769,0
577604,577599,25829,0,4,-640,768,0
577604,577604,25829,0,4,-693,768,0
577623,577609,25830,0,4,-719,767,0
577623,577614,25830,0,4,-772,767,0
577623,577618,25830,0,4,-824,766,0
577623,577623,25830,0,4,-930,765,0
577643,577628,25831,0,4,-877,766,0
577643,577633,25831,0,4,-772,767,0
577643,577638,25831,0,4,-864,766,0
577643,577643,25831,0,4,-904,766,0
577663,577648,25832,0,4,-838,766,0
577663,577653,25832,0,4,-811,766,0
577663,577658,25832,0,4,-877,766,0
577663,577663,25832,0,4,-877,766,0
577683,577668,25833,0,4,-851,766,0
577683,577673,25833,0,4,-824,766,0
577683,577678,25833,0,4,-811,766,0
577683,577683,25833,0,4,-785,767,0
577702,577688,25834,0,4,-838,766,0
577702,577693,25834,0,4,-798,767,0
577702,577697,25834,0,4,-745,767,0
577702,577702,25834,0,4,-798,767,0
577727,577707,25835,0,5,-851,766,0
577727,577712,25835,0,5,-838,766,0
577727,577717,25835,0,5,-851,766,0
577727,577722,25835,0,5,-811,766,0
577727,577727,25835,0,5,-877,766,0
577747,577732,25836,0,4,-824,766,0
577747,577737,25836,0,4,-904,766,0
577747,577742,25836,0,4,-904,766,0
577747,577747,25836,0,4,-996,765,0
577766,577752,25837,0,4,-877,766,0
577766,577757,25837,0,4,-930,765,0
577766,577761,25837,0,4,-1088,764,0
577766,577766,25837,0,4,-996,765,0
577786,577771,25838,0,4,-983,765,0
577786,577776,25838,0,4,-996,765,0
577786,577781,25838,0,4,-1035,764,0
577786,577786,25838,0,4,-969,765,0
577807,577791,25839,0,4,-1048,764,0
577807,577796,25839,0,4,-914,764,0
577807,577802,25839,0,4,-928,764,0
577807,577807,25839,0,4,-954,764,0
577827,577812,25840,0,4,-1020,763,0
577827,577817,25840,0,4,-1046,763,0
577827,577822,25840,0,4,-1086,763,0
577827,577827,25840,0,4,-1165,762,0
577846,577832,25841,0,4,-1152,762,0
577846,577837,25841,0,4,-1099,762,0
577846,577841,25841,0,4,-1178,762,0
577846,577846,25841,0,4,-1178,762,0
577866,577851,25842,0,4,-1165,762,0
577866,577856,25842,0,4,-1191,762,0
577866,577861,25842,0,4,-1297,760,0
577866,577866,25842,0,4,-1204,761,0
577886,577871,25843,0,4,-1284,761,0
577886,577876,25843,0,4,-1217,761,0
577886,577881,25843,0,4,-1284,761,0
577886,577886,25843,0,4,-1323,760,0
577906,577891,25844,0,4,-1362,760,0
577906,577896,25844,0,4,-1284,761,0
577906,577901,25844,0,4,-1415,759,0
577906,577906,25844,0,4,-1415,759,0
577920,577911,25845,0,3,-1586,758,0
577920,577915,25845,0,3,-1520,758,0
577920,577920,25845,0,3,-1547,758,0
577945,577926,25846,0,4,-1534,758,0
577945,577932,25846,0,4,-1586,758,0
577945,577939,25846,0,4,-1507,758,0
577945,577945,25846,0,4,-1534,758,0
577965,577950,25847,0,4,-1573,758,0
577965,577955,25847,0,4,-1468,759,0
577965,577960,25847,0,4,-1507,758,0
577965,577965,25847,0,4,-1376,760,0
577985,577970,25848,0,4,-1349,760,0
577985,577975,25848,0,4,-1323,760,0
577985,577980,25848,0,4,-1165,762,0
577985,577985,25848,0,4,-1073,763,0
578005,577990,25849,0,4,-928,764,0
578005,577995,25849,0,4,-671,766,0
578005,578000,25849,0,4,-487,768,0
578005,578005,25849,0,4,-421,769,0
578025,578010,25850,0,4,-224,771,0
578025,578015,25850,0,4,-184,771,0
578025,578020,25850,0,4,-65,772,0
578025,578025,25850,0,4,26,773,0
578045,578030,25851,0,4,92,774,0
578045,578035,25851,0,4,171,774,0
578045,578040,25851,0,4,223,775,0
578045,578045,25851,0,4,289,776,0
578065,578050,25852,0,4,355,776,0
578065,578055,25852,0,4,355,776,0
578065,578060,25852,0,4,368,776,0
578065,578065,25852,0,4,381,777,0
578084,578070,25853,0,4,355,776,0
578084,578075,25853,0,4,355,776,0
578084,578079,25853,0,4,381,777,0
578084,578084,25853,0,4,395,777,0
578104,578089,25854,0,4,408,777,0
578104,578094,25854,0,4,381,777,0
578104,578099,25854,0,4,342,776,0
578104,578104,25854,0,4,276,776,0
578124,578109,25855,0,4,237,775,0
578124,578114,25855,0,4,184,775,0
578124,578119,25855,0,4,263,775,0
578124,578124,25855,0,4,131,774,0
578144,578129,25856,0,4,105,774,0
578144,578134,25856,0,4,26,773,0
578144,578139,25856,0,4,26,773,0
578144,578144,25856,0,4,-26,772,0
578163,578149,25857,0,4,26,773,0
578163,578154,25857,0,4,52,773,0
578163,578158,25857,0,4,-26,772,0
578163,578163,25857,0,4,-13,773,0
578183,578168,25858,0,4,-105,772,0
