TIME,DIFFERENTIAL_TIME,PACKNUM,LOSTNUM,DATA_LEN,PPW,SP,IF_TRUNCATED
796611,796596,20195,0,4,-3121,727,0
796611,796601,20195,0,4,-3134,726,0
796611,796606,20195,0,4,-3147,726,0
796611,796611,20195,0,4,-3251,725,0
796631,796616,20196,0,4,-3238,725,0
796631,796621,20196,0,4,-3303,725,0
796631,796626,20196,0,4,-3342,724,0
796631,796631,20196,0,4,-3420,724,0
796650,796636,20197,0,4,-3433,723,0
796650,796641,20197,0,4,-3381,724,0
796650,796645,20197,0,4,-3550,722,0
796650,796650,20197,0,4,-3667,721,0
796670,796655,20198,0,4,-3693,721,0
796670,796660,20198,0,4,-3719,721,0
796670,796665,20198,0,4,-3719,721,0
796670,796670,20198,0,4,-3797,720,0
796691,796675,20199,0,4,-3526,719,0
796691,796680,20199,0,4,-3448,720,0
796691,796686,20199,0,4,-3656,718,0
796691,796691,20199,0,4,-3500,719,0
796710,796696,20200,0,4,-3357,721,0
796710,796701,20200,0,4,-3266,722,0
796710,796705,20200,0,4,-2798,726,0
796710,796710,20200,0,4,-2459,730,0
796735,796715,20201,0,5,-2017,734,0
796735,796720,20201,0,5,-1288,741,0
796735,796725,20201,0,5,-559,749,0
796735,796730,20201,0,5,52,755,0
796735,796735,20201,0,5,767,762,0
796754,796740,20202,0,4,1418,769,0
796754,796745,20202,0,4,1860,773,0
796754,796749,20202,0,4,2498,779,0
796754,796754,20202,0,4,2928,784,0
796774,796759,20203,0,4,3253,787,0
796774,796764,20203,0,4,3578,790,0
796774,796769,20203,0,4,3904,793,0
796774,796774,20203,0,4,4073,795,0
796794,796779,20204,0,4,4151,796,0
796794,796784,20204,0,4,4125,796,0
796794,796789,20204,0,4,4268,797,0
796794,796794,20204,0,4,4333,798,0
796813,796799,20205,0,4,4242,797,0
796813,796804,20205,0,4,4164,796,0
796813,796808,20205,0,4,4164,796,0
796813,796813,20205,0,4,4125,796,0
796833,796818,20206,0,4,3943,794,0
796833,796823,20206,0,4,3722,792,0
796833,796828,20206,0,4,3683,791,0
796833,796833,20206,0,4,3474,789,0
796853,796838,20207,0,4,3383,788,0
796853,796843,20207,0,4,3240,787,0
796853,796848,20207,0,4,3136,786,0
796853,796853,20207,0,4,2941,784,0
796874,796858,20208,0,4,2849,783,0
796874,796863,20208,0,4,2719,782,0
796874,796869,20208,0,4,2589,780,0
796874,796874,20208,0,4,2372,779,0
796893,796879,20209,0,4,2255,778,0
796893,796884,20209,0,4,2034,775,0
796893,796888,20209,0,4,1890,774,0
796893,796893,20209,0,4,1682,772,0
796913,796898,20210,0,4,1539,770,0
796913,796903,20210,0,4,1422,769,0
796913,796908,20210,0,4,1188,767,0
796913,796913,20210,0,4,1110,766,0
796932,796918,20211,0,4,863,764,0
796932,796923,20211,0,4,732,762,0
796932,796927,20211,0,4,576,761,0
796932,796932,20211,0,4,290,758,0
796952,796937,20212,0,4,277,758,0
796952,796942,20212,0,4,29,755,0
796952,796947,20212,0,4,-165,753,0
796952,796952,20212,0,4,-243,753,0
796972,796957,20213,0,4,-360,751,0
796972,796962,20213,0,4,-529,750,0
796972,796967,20213,0,4,-737,748,0
796972,796972,20213,0,4,-750,748,0
796991,796977,20214,0,4,-711,748,0
796991,796982,20214,0,4,-841,747,0
796991,796986,20214,0,4,-867,746,0
796991,796991,20214,0,4,-841,747,0
797011,796996,20215,0,4,-789,747,0
797011,797001,20215,0,4,-867,746,0
797011,797006,20215,0,4,-815,747,0
797011,797011,20215,0,4,-737,748,0
797031,797016,20216,0,4,-815,747,0
797031,797021,20216,0,4,-698,748,0
797031,797026,20216,0,4,-724,748,0
797031,797031,20216,0,4,-659,748,0
797060,797036,20217,0,6,-672,748,0
797060,797041,20217,0,6,-633,749,0
797060,797045,20217,0,6,-685,748,0
797060,797050,20217,0,6,-581,749,0
797060,797055,20217,0,6,-555,750,0
797060,797060,20217,0,6,-672,748,0
797071,797066,20218,0,2,-620,749,0
797071,797071,20218,0,2,-645,749,0
797091,797076,20219,0,4,-619,749,0
797091,797081,20219,0,4,-749,748,0
797091,797086,20219,0,4,-633,749,0
797091,797091,20219,0,4,-749,748,0
797111,797096,20220,0,4,-867,746,0
797111,797101,20220,0,4,-854,747,0
797111,797106,20220,0,4,-880,746,0
797111,797111,20220,0,4,-997,745,0
797130,797116,20221,0,4,-1127,744,0
797130,797121,20221,0,4,-1205,743,0
797130,797125,20221,0,4,-1283,742,0
797130,797130,20221,0,4,-1387,741,0
797150,797135,20222,0,4,-1439,741,0
797150,797140,20222,0,4,-1544,740,0
797150,797145,20222,0,4,-1595,739,0
797150,797150,20222,0,4,-1738,738,0
797174,797155,20223,0,5,-1986,735,0
797174,797160,20223,0,5,-2012,735,0
797174,797164,20223,0,5,-2155,734,0
797174,797169,20223,0,5,-2168,733,0
797174,797174,20223,0,5,-2376,731,0
797194,797179,20224,0,4,-2402,731,0
797194,797184,20224,0,4,-2519,730,0
797194,797189,20224,0,4,-2519,730,0
797194,797194,20224,0,4,-2715,728,0
797214,797199,20225,0,4,-2663,728,0
797214,797204,20225,0,4,-2819,727,0
797214,797209,20225,0,4,-2858,726,0
797214,797214,20225,0,4,-2988,725,0
797234,797219,20226,0,4,-2975,725,0
797234,797224,20226,0,4,-3001,725,0
797234,797229,20226,0,4,-3079,724,0
797234,797234,20226,0,4,-3248,723,0
797253,797239,20227,0,4,-3300,722,0
797253,797244,20227,0,4,-3235,723,0
797253,797248,20227,0,4,-3404,721,0
797253,797253,20227,0,4,-3483,720,0
797274,797258,20228,0,4,-3600,719,0
797274,797263,20228,0,4,-3483,720,0
797274,797269,20228,0,4,-3619,718,0
797274,797274,20228,0,4,-3671,718,0
797294,797279,20229,0,4,-3711,717,0
797294,797284,20229,0,4,-3711,717,0
797294,797289,20229,0,4,-3697,718,0
797294,797294,20229,0,4,-3671,718,0
797313,797299,20230,0,4,-3762,717,0
797313,797304,20230,0,4,-3723,717,0
797313,797308,20230,0,4,-3815,716,0
797313,797313,20230,0,4,-3775,717,0
797333,797318,20231,0,4,-3801,716,0
797333,797323,20231,0,4,-3905,715,0
797333,797328,20231,0,4,-4062,714,0
797333,797333,20231,0,4,-4114,713,0
797353,797338,20232,0,4,-4049,714,0
797353,797343,20232,0,4,-4179,713,0
797353,797348,20232,0,4,-4257,712,0
797353,797353,20232,0,4,-4322,711,0
797372,797358,20233,0,4,-4283,712,0
797372,797363,20233,0,4,-4270,712,0
797372,797367,20233,0,4,-4101,713,0
797372,797372,20233,0,4,-3827,716,0
797392,797377,20234,0,4,-3398,721,0
797392,797382,20234,0,4,-2916,725,0
797392,797387,20234,0,4,-2448,730,0
797392,797392,20234,0,4,-1693,738,0
797417,797397,20235,0,5,-1055,744,0
797417,797402,20235,0,5,-418,750,0
797417,797407,20235,0,5,193,756,0
797417,797412,20235,0,5,700,761,0
797417,797417,20235,0,5,1247,767,0
797431,797422,20236,0,3,1624,771,0
797431,797426,20236,0,3,2223,777,0
797431,797431,20236,0,3,2340,778,0
797451,797436,20237,0,4,2652,781,0
797451,797441,20237,0,4,2887,783,0
797451,797446,20237,0,4,2978,784,0
797451,797451,20237,0,4,3121,786,0
797472,797456,20238,0,4,3212,787,0
797472,797461,20238,0,4,3186,786,0
797472,797467,20238,0,4,3265,787,0
797472,797472,20238,0,4,3174,786,0
797491,797477,20239,0,4,3135,786,0
797491,797482,20239,0,4,3070,785,0
797491,797486,20239,0,4,3005,785,0
797491,797491,20239,0,4,2810,783,0
797511,797496,20240,0,4,2679,782,0
797511,797501,20240,0,4,2445,779,0
797511,797506,20240,0,4,2393,779,0
797511,797511,20240,0,4,2185,777,0
797536,797516,20241,0,5,2133,776,0
797536,797521,20241,0,5,1924,774,0
797536,797526,20241,0,5,1704,772,0
797536,797531,20241,0,5,1586,771,0
797536,797536,20241,0,5,1404,769,0
797551,797541,20242,0,3,1300,768,0
797551,797546,20242,0,3,1118,766,0
797551,797551,20242,0,3,1040,765,0
797570,797556,20243,0,4,805,763,0
797570,797561,20243,0,4,623,761,0
797570,797565,20243,0,4,493,760,0
797570,797570,20243,0,4,272,757,0
797595,797575,20244,0,5,90,756,0
797595,797580,20244,0,5,-91,754,0
797595,797585,20244,0,5,-274,752,0
797595,797590,20244,0,5,-443,750,0
797595,797595,20244,0,5,-664,748,0
797614,797600,20245,0,4,-820,747,0
797614,797605,20245,0,4,-937,745,0
797614,797609,20245,0,4,-1120,744,0
797614,797614,20245,0,4,-1263,742,0
797634,797619,20246,0,4,-1393,741,0
797634,797624,20246,0,4,-1627,738,0
797634,797629,20246,0,4,-1692,738,0
797634,797634,20246,0,4,-1783,737,0
797659,797639,20247,0,5,-1822,737,0
797659,797644,20247,0,5,-1835,736,0
797659,797649,20247,0,5,-1900,736,0
797659,797654,20247,0,5,-1875,736,0
797659,797659,20247,0,5,-1875,736,0
797674,797664,20248,0,3,-1748,736,0
797674,797669,20248,0,3,-1748,736,0
797674,797674,20248,0,3,-1605,738,0
797694,797679,20249,0,4,-1631,737,0
797694,797684,20249,0,4,-1488,739,0
797694,797689,20249,0,4,-1540,738,0
797694,797694,20249,0,4,-1305,741,0
797714,797701,20250,0,3,-1227,741,0
797714,797707,20250,0,3,-1253,741,0
797714,797714,20250,0,3,-1084,743,0
797733,797719,20251,0,4,-1175,742,0
797733,797724,20251,0,4,-1071,743,0
797733,797728,20251,0,4,-1188,742,0
797733,797733,20251,0,4,-1149,742,0
797753,797738,20252,0,4,-1175,742,0
797753,797743,20252,0,4,-1292,741,0
797753,797748,20252,0,4,-1397,740,0
797753,797753,20252,0,4,-1292,741,0
797773,797758,20253,0,4,-1410,739,0
797773,797763,20253,0,4,-1422,739,0
797773,797768,20253,0,4,-1526,738,0
797773,797773,20253,0,4,-1670,737,0
797793,797778,20254,0,4,-1774,736,0
797793,797783,20254,0,4,-1787,736,0
797793,797788,20254,0,4,-1878,735,0
797793,797793,20254,0,4,-2047,733,0
797812,797798,20255,0,4,-2268,731,0
797812,797803,20255,0,4,-2217,731,0
797812,797807,20255,0,4,-2281,731,0
797812,797812,20255,0,4,-2451,729,0
797832,797817,20256,0,4,-2477,729,0
797832,797822,20256,0,4,-2659,727,0
797832,797827,20256,0,4,-2737,726,0
797832,797832,20256,0,4,-2750,726,0
797852,797837,20257,0,4,-2906,725,0
797852,797842,20257,0,4,-3075,723,0
797852,797847,20257,0,4,-3114,722,0
797852,797852,20257,0,4,-3127,722,0
797872,797857,20258,0,4,-3362,720,0
797872,797862,20258,0,4,-3271,720,0
797872,797867,20258,0,4,-3388,719,0
797872,797872,20258,0,4,-3545,717,0
797892,797877,20259,0,4,-3635,716,0
797892,797882,20259,0,4,-3688,716,0
797892,797887,20259,0,4,-3688,716,0
797892,797892,20259,0,4,-3896,714,0
797912,797897,20260,0,4,-3909,714,0
797912,797902,20260,0,4,-4013,713,0
797912,797907,20260,0,4,-4026,713,0
797912,797912,20260,0,4,-4130,712,0
797931,797917,20261,0,4,-4286,710,0
797931,797922,20261,0,4,-4338,709,0
797931,797926,20261,0,4,-4391,709,0
797931,797931,20261,0,4,-4442,708,0
797951,797936,20262,0,4,-4520,708,0
797951,797941,20262,0,4,-4638,706,0
797951,797946,20262,0,4,-4534,707,0
797951,797951,20262,0,4,-4560,707,0
797971,797956,20263,0,4,-4677,706,0
797971,797961,20263,0,4,-4729,706,0
797971,797966,20263,0,4,-4820,705,0
797971,797971,20263,0,4,-4794,705,0
797991,797976,20264,0,4,-4846,704,0
797991,797981,20264,0,4,-4885,704,0
797991,797986,20264,0,4,-4950,703,0
797991,797991,20264,0,4,-5054,702,0
798010,797996,20265,0,4,-5093,702,0
798010,798001,20265,0,4,-5119,702,0
798010,798005,20265,0,4,-5184,701,0
798010,798010,20265,0,4,-5210,701,0
798039,798015,20266,0,6,-5210,701,0
798039,798020,20266,0,6,-5132,701,0
798039,798024,20266,0,6,-5015,703,0
798039,798029,20266,0,6,-4820,705,0
798039,798034,20266,0,6,-4585,707,0
798039,798039,20266,0,6,-4117,712,0
798054,798044,20267,0,3,-3531,718,0
798054,798049,20267,0,3,-3011,723,0
798054,798054,20267,0,3,-2256,730,0
798070,798059,20268,0,3,-1072,739,0
798070,798065,20268,0,3,-265,747,0
798070,798070,20268,0,3,411,754,0
798095,798075,20269,0,5,996,759,0
798095,798080,20269,0,5,1530,765,0
798095,798085,20269,0,5,1959,769,0
798095,798090,20269,0,5,2194,771,0
798095,798095,20269,0,5,2558,775,0
798114,798100,20270,0,4,2884,778,0
798114,798105,20270,0,4,2936,779,0
798114,798109,20270,0,4,3066,780,0
798114,798114,20270,0,4,3248,782,0
798139,798119,20271,0,5,3300,782,0
798139,798124,20271,0,5,3313,783,0
798139,798129,20271,0,5,3261,782,0
798139,798134,20271,0,5,3235,782,0
798139,798139,20271,0,5,3287,782,0
798154,798144,20272,0,3,3261,782,0
798154,798149,20272,0,3,3105,780,0
798154,798154,20272,0,3,3014,780,0
798173,798159,20273,0,4,2923,779,0
798173,798164,20273,0,4,2832,778,0
798173,798168,20273,0,4,2623,776,0
798173,798173,20273,0,4,2506,775,0
798193,798178,20274,0,4,2428,774,0
798193,798183,20274,0,4,2272,772,0
798193,798188,20274,0,4,2090,770,0
798193,798193,20274,0,4,1959,769,0
798213,798198,20275,0,4,1908,769,0
798213,798203,20275,0,4,1660,766,0
798213,798208,20275,0,4,1582,765,0
798213,798213,20275,0,4,1413,764,0
798233,798218,20276,0,4,1166,761,0
798233,798223,20276,0,4,1100,760,0
798233,798228,20276,0,4,866,758,0
798233,798233,20276,0,4,710,757,0
798252,798238,20277,0,4,489,754,0
798252,798243,20277,0,4,281,752,0
798252,798247,20277,0,4,85,750,0
798252,798252,20277,0,4,-109,748,0
798273,798257,20278,0,4,-305,746,0
798273,798262,20278,0,4,-527,744,0
798273,798268,20278,0,4,-631,743,0
798273,798273,20278,0,4,-800,741,0
798292,798278,20279,0,4,-1047,738,0
798292,798283,20279,0,4,-1008,739,0
798292,798287,20279,0,4,-1229,737,0
798292,798292,20279,0,4,-1190,737,0
798312,798297,20280,0,4,-1386,735,0
798312,798302,20280,0,4,-1360,735,0
798312,798307,20280,0,4,-1437,735,0
798312,798312,20280,0,4,-1411,735,0
798332,798317,20281,0,4,-1425,735,0
798332,798322,20281,0,4,-1372,735,0
798332,798327,20281,0,4,-1372,735,0
798332,798332,20281,0,4,-1399,735,0
798351,798337,20282,0,4,-1307,736,0
798351,798342,20282,0,4,-1268,736,0
798351,798346,20282,0,4,-1360,735,0
798351,798351,20282,0,4,-1333,736,0
798371,798356,20283,0,4,-1203,737,0
798371,798361,20283,0,4,-1242,736,0
798371,798366,20283,0,4,-1216,737,0
798371,798371,20283,0,4,-1203,737,0
798391,798376,20284,0,4,-1112,738,0
798391,798381,20284,0,4,-1073,738,0
798391,798386,20284,0,4,-1060,738,0
798391,798391,20284,0,4,-1177,737,0
798411,798396,20285,0,4,-1190,737,0
798411,798401,20285,0,4,-1138,738,0
798411,798406,20285,0,4,-1138,738,0
798411,798411,20285,0,4,-1125,738,0
798430,798416,20286,0,4,-1125,738,0
798430,798421,20286,0,4,-1216,737,0
798430,798425,20286,0,4,-1164,737,0
798430,798430,20286,0,4,-1112,738,0
798450,798435,20287,0,4,-1281,736,0
798450,798440,20287,0,4,-1360,735,0
798450,798445,20287,0,4,-1360,735,0
798450,798450,20287,0,4,-1411,735,0
798471,798455,20288,0,4,-1443,734,0
798471,798460,20288,0,4,-1534,733,0
798471,798466,20288,0,4,-1716,732,0
798471,798471,20288,0,4,-1911,730,0
798490,798476,20289,0,4,-1989,729,0
798490,798481,20289,0,4,-2002,729,0
798490,798485,20289,0,4,-2054,728,0
798490,798490,20289,0,4,-2171,727,0
798515,798495,20290,0,5,-2315,726,0
798515,798500,20290,0,5,-2523,723,0
798515,798505,20290,0,5,-2471,724,0
798515,798510,20290,0,5,-2614,723,0
798515,798515,20290,0,5,-2692,722,0
798539,798520,20291,0,5,-2640,722,0
798539,798525,20291,0,5,-2900,720,0
798539,798529,20291,0,5,-2900,720,0
798539,798534,20291,0,5,-3005,719,0
798539,798539,20291,0,5,-3056,718,0
798554,798544,20292,0,3,-3200,717,0
798554,798549,20292,0,3,-3278,716,0
798554,798554,20292,0,3,-3330,715,0
798574,798559,20293,0,4,-3408,715,0
798574,798564,20293,0,4,-3512,714,0
798574,798569,20293,0,4,-3473,714,0
798574,798574,20293,0,4,-3642,712,0
798593,798579,20294,0,4,-3681,712,0
798593,798584,20294,0,4,-3746,711,0
798593,798588,20294,0,4,-3916,710,0
798593,798593,20294,0,4,-3863,710,0
798613,798598,20295,0,4,-3876,710,0
798613,798603,20295,0,4,-4006,709,0
798613,798608,20295,0,4,-4098,708,0
798613,798613,20295,0,4,-4006,709,0
798638,798618,20296,0,5,-4137,707,0
798638,798623,20296,0,5,-4072,708,0
798638,798628,20296,0,5,-4228,706,0
798638,798633,20296,0,5,-4280,706,0
798638,798638,20296,0,5,-4384,705,0
798654,798643,20297,0,3,-4267,706,0
798654,798649,20297,0,3,-4267,706,0
798654,798654,20297,0,3,-4156,705,0
798673,798659,20298,0,4,-4234,705,0
798673,798664,20298,0,4,-4182,705,0
798673,798668,20298,0,4,-4182,705,0
798673,798673,20298,0,4,-4195,705,0
798693,798678,20299,0,4,-4273,704,0
798693,798683,20299,0,4,-4338,704,0
798693,798688,20299,0,4,-4299,704,0
798693,798693,20299,0,4,-4234,705,0
798713,798698,20300,0,4,-4169,705,0
798713,798703,20300,0,4,-3896,708,0
798713,798708,20300,0,4,-3518,712,0
798713,798713,20300,0,4,-2933,718,0
798732,798718,20301,0,4,-2490,722,0
798732,798723,20301,0,4,-1735,730,0
798732,798727,20301,0,4,-1058,736,0
798732,798732,20301,0,4,-421,743,0
798752,798737,20302,0,4,177,749,0
798752,798742,20302,0,4,919,756,0
798752,798747,20302,0,4,1413,761,0
798752,798752,20302,0,4,1843,765,0
798772,798757,20303,0,4,2259,770,0
798772,798762,20303,0,4,2559,773,0
798772,798767,20303,0,4,2910,776,0
798772,798772,20303,0,4,3209,779,0
798791,798777,20304,0,4,3301,780,0
798791,798782,20304,0,4,3483,782,0
798791,798786,20304,0,4,3561,783,0
798791,798791,20304,0,4,3743,784,0
798811,798796,20305,0,4,3704,784,0
798811,798801,20305,0,4,3587,783,0
798811,798806,20305,0,4,3691,784,0
798811,798811,20305,0,4,3470,782,0
