TIME,DIFFERENTIAL_TIME,PACKNUM,LOSTNUM,DATA_LEN,PPW,SP,IF_TRUNCATED
79878779,79878764,490243,0,4,118,509,0
79878779,79878769,490243,0,4,186,510,0
79878779,79878774,490243,0,4,105,509,0
79878779,79878779,490243,0,4,118,509,0
79878799,79878784,490244,0,4,159,510,0
79878799,79878789,490244,0,4,118,509,0
79878799,79878794,490244,0,4,172,510,0
79878799,79878799,490244,0,4,159,510,0
79878820,79878804,490245,0,4,213,510,0
79878820,79878809,490245,0,4,159,510,0
79878820,79878815,490245,0,4,56,509,0
79878820,79878820,490245,0,4,70,510,0
79878840,79878825,490246,0,4,70,510,0
79878840,79878830,490246,0,4,56,509,0
79878840,79878835,490246,0,4,56,509,0
79878840,79878840,490246,0,4,-10,509,0
79878859,79878845,490247,0,4,70,510,0
79878859,79878850,490247,0,4,-51,508,0
79878859,79878854,490247,0,4,-105,508,0
79878859,79878859,490247,0,4,16,509,0
79878879,79878864,490248,0,4,-78,508,0
79878879,79878869,490248,0,4,-118,508,0
79878879,79878874,490248,0,4,-159,507,0
79878879,79878879,490248,0,4,-253,506,0
79878899,79878884,490249,0,4,-240,506,0
79878899,79878889,490249,0,4,-321,506,0
79878899,79878894,490249,0,4,-348,505,0
79878899,79878899,490249,0,4,-469,504,0
79878918,79878904,490250,0,4,-402,505,0
79878918,79878909,490250,0,4,-496,504,0
79878918,79878913,490250,0,4,-550,503,0
79878918,79878918,490250,0,4,-631,503,0
79878938,79878923,490251,0,4,-645,502,0
79878938,79878928,490251,0,4,-726,502,0
79878938,79878933,490251,0,4,-726,502,0
79878938,79878938,490251,0,4,-726,502,0
79878958,79878943,490252,0,4,-834,500,0
79878958,79878948,490252,0,4,-969,499,0
79878958,79878953,490252,0,4,-983,499,0
79878958,79878958,490252,0,4,-1050,498,0
79878977,79878963,490253,0,4,-1090,498,0
79878977,79878968,490253,0,4,-1023,499,0
79878977,79878972,490253,0,4,-1185,497,0
79878977,79878977,490253,0,4,-1144,497,0
79878997,79878982,490254,0,4,-1266,496,0
79878997,79878987,490254,0,4,-1306,496,0
79878997,79878992,490254,0,4,-1387,495,0
79878997,79878997,490254,0,4,-1347,495,0
79879018,79879002,490255,0,4,-1347,495,0
79879018,79879007,490255,0,4,-1360,495,0
79879018,79879013,490255,0,4,-1238,495,0
79879018,79879018,490255,0,4,-1306,494,0
79879038,79879023,490256,0,4,-1373,494,0
79879038,79879028,490256,0,4,-1387,494,0
79879038,79879033,490256,0,4,-1414,493,0
79879038,79879038,490256,0,4,-1414,493,0
79879057,79879043,490257,0,4,-1387,494,0
79879057,79879048,490257,0,4,-1522,492,0
79879057,79879052,490257,0,4,-1508,492,0
79879057,79879057,490257,0,4,-1562,492,0
79879077,79879062,490258,0,4,-1657,491,0
79879077,79879067,490258,0,4,-1616,491,0
79879077,79879072,490258,0,4,-1589,492,0
79879077,79879077,490258,0,4,-1711,490,0
79879096,79879082,490259,0,4,-1711,490,0
79879096,79879087,490259,0,4,-1697,490,0
79879096,79879091,490259,0,4,-1711,490,0
79879096,79879096,490259,0,4,-1711,490,0
79879116,79879101,490260,0,4,-1697,490,0
79879116,79879106,490260,0,4,-1738,490,0
79879116,79879111,490260,0,4,-1832,489,0
79879116,79879116,490260,0,4,-1751,490,0
79879136,79879121,490261,0,4,-1832,489,0
79879136,79879126,490261,0,4,-1873,489,0
79879136,79879131,490261,0,4,-1805,489,0
79879136,79879136,490261,0,4,-1900,488,0
79879160,79879141,490262,0,5,-1967,488,0
79879160,79879146,490262,0,5,-1994,487,0
79879160,79879150,490262,0,5,-1994,487,0
79879160,79879155,490262,0,5,-1981,488,0
79879160,79879160,490262,0,5,-2035,487,0
79879180,79879165,490263,0,4,-2116,486,0
