DIFFERENTIAL_TIME,PPW
65388445,-22
65388450,-8
65388455,-35
65388460,-62
65388465,-35
65388470,-115
65388475,-22
65388480,-274
65388485,-208
65388490,-221
65388495,-261
65388500,-341
65388505,-433
65388510,-513
65388515,-566
65388520,-646
65388525,-752
65388530,-832
65388535,-832
65388539,-964
65388544,-1097
65388549,-1177
65388554,-1283
65388559,-1310
65388564,-1349
65388569,-1588
65388574,-1482
65388579,-1642
65388584,-1774
65388589,-1788
65388594,-1881
65388599,-1828
65388604,-1973
65388609,-2093
65388614,-2159
65388619,-2093
65388624,-2226
65388629,-2266
65388634,-2200
65388639,-2292
65388644,-2346
65388649,-2372
65388654,-2359
65388659,-2545
65388664,-2465
65388669,-2465
65388674,-2558
65388678,-2598
65388683,-2611
65388688,-2664
65388693,-2757
65388698,-2824
65388703,-2744
65388708,-2651
65388713,-2863
65388718,-2810
65388723,-2757
65388728,-2890
65388733,-2850
65388738,-2797
65388743,-2943
65388748,-2903
65388753,-2916
65388757,-3010
65388762,-3049
65388767,-2970
65388772,-3049
65388777,-3036
65388782,-3142
65388787,-3209
65388792,-3156
65388797,-3275
65388802,-3248
65388807,-3262
65388812,-3341
65388817,-3373
65388822,-3373
65388827,-3506
65388832,-3546
65388837,-3586
65388842,-3533
65388847,-3572
65388852,-3692
65388857,-3785
65388862,-3666
65388867,-3851
65388872,-3851
65388877,-3825
65388882,-3984
65388887,-3772
65388892,-3745
65388896,-3546
65388901,-3466
65388906,-3174
65388911,-2763
65388916,-2364
65388921,-1860
65388926,-1329
65388931,-771
65388936,-227
65388941,210
65388946,568
65388951,834
65388955,967
65388960,1153
65388965,1418
65388970,1511
65388975,1723
65388980,1870
65388985,2108
65388990,2308
65388995,2427
65389000,2600
65389005,2679
65389010,2812
65389016,2838
65389021,2904
65389026,2957
65389031,2957
65389035,2890
65389040,2811
65389045,2758
65389050,2732
65389055,2652
65389060,2599
65389065,2638
65389070,2373
65389075,2492
65389080,2293
65389085,2280
65389090,2214
65389095,2094
65389099,1988
65389104,1988
65389109,1961
65389114,1868
65389119,1683
65389124,1510
65389129,1364
65389134,1231
65389139,1098
65389144,873
65389149,594
65389154,514
65389159,435
65389164,262
65389169,-29
65389174,-109
65389178,-228
65389183,-281
65389188,-348
65389193,-202
65389198,-294
65389203,-334
65389208,-281
65389213,-172
65389219,-145
65389224,-225
65389229,-159
65389234,-172
65389238,-251
65389243,-305
65389248,-318
65389253,-305
65389258,-371
65389263,-371
65389268,-504
65389273,-530
65389278,-570
65389283,-570
65389288,-597
65389293,-849
65389298,-835
65389303,-1048
65389308,-902
65389313,-1061
65389317,-1194
65389322,-1194
65389327,-1314
65389332,-1446
65389337,-1486
65389342,-1659
65389347,-1699
65389352,-1831
65389357,-1884
65389362,-1964
65389367,-2150
65389372,-2216
65389377,-2283
65389382,-2322
65389387,-2455
65389392,-2442
65389396,-2455
65389401,-2482
65389406,-2601
65389411,-2594
65389417,-2620
65389422,-2541
65389427,-2740
65389432,-2740
65389437,-2899
65389442,-2913
65389447,-2873
65389452,-2966
65389456,-2926
65389461,-2926
65389466,-3019
65389471,-3072
65389476,-3112
65389481,-3032
65389486,-3085
65389491,-3072
65389496,-3191
65389501,-3005
